Date,Price,SMA50,SMA200
2020-01-02,72.6208,,
2020-01-03,71.9148,,
2020-01-06,72.4879,,
2020-01-07,72.1469,,
2020-01-08,73.3075,,
2020-01-09,74.8646,,
2020-01-10,75.0339,,
2020-01-13,76.6369,,
2020-01-14,75.6021,,
2020-01-15,75.2781,,
2020-01-16,76.2211,,
2020-01-17,77.0649,,
2020-01-21,76.5426,,
2020-01-22,76.8158,,
2020-01-23,77.1858,,
2020-01-24,76.9633,,
2020-01-27,74.7002,,
2020-01-28,76.8134,,
2020-01-29,78.4213,,
2020-01-30,78.3077,,
2020-01-31,74.8356,,
2020-02-03,74.6301,,
2020-02-04,77.0939,,
2020-02-05,77.7226,,
2020-02-06,78.6317,,
2020-02-07,77.5629,,
2020-02-10,77.9312,,
2020-02-11,77.4611,,
2020-02-12,79.3006,,
2020-02-13,78.7359,,
2020-02-14,78.7553,,
2020-02-18,77.3132,,
2020-02-19,78.4329,,
2020-02-20,77.6283,,
2020-02-21,75.8712,,
2020-02-24,72.2673,,
2020-02-25,69.8194,,
2020-02-26,70.927,,
2020-02-27,66.2906,,
2020-02-28,66.2519,,
2020-03-02,72.4199,,
2020-03-03,70.1199,,
2020-03-04,73.3724,,
2020-03-05,70.9924,,
2020-03-06,70.0497,,
2020-03-09,64.5093,,
2020-03-10,69.1553,,
2020-03-11,66.7535,,
2020-03-12,60.1613,,
2020-03-13,67.3691,74.0259,
2020-03-16,58.7023,73.7475,
2020-03-17,61.2835,73.5349,
2020-03-18,59.7832,73.2808,
2020-03-19,59.3252,73.0244,
2020-03-20,55.5589,72.6694,
2020-03-23,54.3786,72.2597,
2020-03-24,59.8341,71.9557,
2020-03-25,59.5045,71.613,
2020-03-26,62.6358,71.3537,
2020-03-27,60.0426,71.049,
2020-03-30,61.7561,70.7597,
2020-03-31,61.63,70.451,
2020-04-01,58.3872,70.0879,
2020-04-02,59.3615,69.7388,
2020-04-03,58.5084,69.3653,
2020-04-06,63.6125,69.0983,
2020-04-07,62.8758,68.8618,
2020-04-08,64.485,68.6152,
2020-04-09,64.9504,68.3458,
2020-04-13,66.2252,68.1041,
2020-04-14,69.5698,67.9988,
2020-04-15,68.9348,67.8849,
2020-04-16,69.4825,67.7327,
2020-04-17,68.5397,67.549,
2020-04-20,67.1171,67.3187,
2020-04-21,65.0425,67.0683,
2020-04-22,66.9159,66.848,
2020-04-23,66.6566,66.6319,
2020-04-24,68.581,66.4175,
2020-04-27,68.6294,66.2154,
2020-04-28,67.517,65.9906,
2020-04-29,69.7346,65.8391,
2020-04-30,71.2057,65.6945,
2020-05-01,70.0594,65.5431,
2020-05-04,71.0506,65.4467,
2020-05-05,72.117,65.4437,
2020-05-06,72.8611,65.5046,
2020-05-07,73.6148,65.5583,
2020-05-08,75.367,65.7398,
2020-05-11,76.5529,65.9459,
2020-05-12,75.678,66.011,
2020-05-13,74.7643,66.1039,
2020-05-14,75.2236,66.1409,
2020-05-15,74.7789,66.2167,
2020-05-18,76.5407,66.3465,
2020-05-19,76.0984,66.5783,
2020-05-20,77.5784,66.7467,
2020-05-21,77,66.9517,
2020-05-22,77.4958,67.2983,
2020-05-26,76.9709,67.4904,
2020-05-27,77.3062,67.8625,
2020-05-28,77.3402,68.1836,
2020-05-29,77.2649,68.5332,
2020-06-01,78.2151,68.911,
2020-06-02,78.5772,69.3714,
2020-06-03,79.0098,69.864,
2020-06-04,78.3293,70.2339,
2020-06-05,80.5602,70.655,
2020-06-08,81.0365,71.0231,
2020-06-09,83.5955,71.4941,
2020-06-10,85.7462,71.9739,
2020-06-11,81.6295,72.3739,
2020-06-12,82.3342,72.8528,
2020-06-15,83.3525,73.3327,
2020-06-16,85.5615,73.8737,
2020-06-17,85.4424,74.3103,
2020-06-18,85.4765,74.7623,
2020-06-19,84.988,75.1724,
2020-06-22,87.2116,75.6176,
2020-06-23,89.0731,76.0746,
2020-06-24,87.5008,76.4332,
2020-06-25,88.6624,76.8278,
2020-06-26,85.9382,77.1569,
2020-06-29,87.9188,77.5444,
2020-06-30,88.6527,77.9752,
2020-07-01,88.485,78.444,
2020-07-02,88.485,78.8754,
2020-07-06,90.852,79.3593,
2020-07-07,90.5701,79.7991,
2020-07-08,92.6795,80.2801,
2020-07-09,93.078,80.7913,
2020-07-10,93.2409,81.2614,
2020-07-13,92.8107,81.6935,
2020-07-14,94.3466,82.1793,
2020-07-15,94.9955,82.6582,
2020-07-16,93.8265,83.0924,
2020-07-17,93.637,83.5079,
2020-07-20,95.6103,83.9478,
2020-07-21,94.2907,84.3263,
2020-07-22,94.5556,84.6863,
2020-07-23,90.2517,84.9778,
2020-07-24,90.0282,85.2831,
2020-07-27,92.1619,85.6218,
2020-07-28,90.6479,85.9392,
2020-07-29,92.3854,86.2561,
2020-07-30,93.5033,86.6042,
2020-07-31,103.292,87.1185,
2020-08-03,105.895,87.6964,
2020-08-04,106.602,88.2785,
2020-08-05,106.988,88.8789,
2020-08-06,110.721,89.5471,
2020-08-07,108.204,90.1644,
2020-08-10,109.776,90.8147,
2020-08-11,106.512,91.3806,
2020-08-12,110.052,92.0101,
2020-08-13,111.999,92.6699,
2020-08-14,111.899,93.3413,
2020-08-17,111.607,93.9622,
2020-08-18,112.537,94.5922,
2020-08-19,112.678,95.1739,
2020-08-20,115.179,95.7625,
2020-08-21,121.114,96.5522,
2020-08-24,122.563,97.3568,
2020-08-25,121.557,98.1209,
2020-08-26,123.21,98.8739,
2020-08-27,121.737,99.5998,
2020-08-28,121.54,100.321,
2020-08-31,125.662,101.135,
2020-09-01,130.667,102.004,
2020-09-02,127.96,102.781,
2020-09-03,117.716,103.386,
2020-09-04,117.793,103.968,
2020-09-08,109.867,104.447,
2020-09-09,114.249,104.973,
2020-09-10,110.519,105.411,
2020-09-11,109.068,105.822,
2020-09-14,112.34,106.3,
2020-09-15,112.515,106.733,
2020-09-16,109.195,107.105,
2020-09-17,107.451,107.401,
2020-09-18,104.043,107.62,
2020-09-21,107.198,107.899,
2020-09-22,108.883,108.221,
2020-09-23,104.316,108.42,
2020-09-24,105.387,108.628,
2020-09-25,109.341,108.938,
2020-09-28,111.951,109.304,
2020-09-29,111.103,109.614,
2020-09-30,112.778,109.984,
2020-10-01,113.733,110.368,
2020-10-02,110.061,110.764,
2020-10-05,113.45,111.232,
2020-10-06,110.198,111.593,
2020-10-07,112.067,112.021,
2020-10-08,111.96,112.413,
2020-10-09,113.908,112.821,
2020-10-12,121.143,113.178,
2020-10-13,117.93,113.419,
2020-10-14,118.017,113.647,
2020-10-15,117.55,113.858,86.0633
2020-10-16,115.904,113.962,86.2797
2020-10-19,112.944,114.057,86.4849
2020-10-20,114.434,114.15,86.6946
2020-10-21,113.811,114.296,86.9029
2020-10-22,112.72,114.349,87.1
2020-10-23,112.028,114.35,87.2858
2020-10-26,112.038,114.352,87.4708
2020-10-27,113.548,114.391,87.6554
2020-10-28,108.289,114.306,87.8188
2020-10-29,112.301,114.299,88.0039
2020-10-30,106.01,114.115,88.1529
2020-11-02,105.923,113.812,88.2972
2020-11-03,107.549,113.511,88.4522
2020-11-04,111.941,113.319,88.6278
2020-11-05,115.914,113.173,88.8215
2020-11-06,115.782,113.054,89.0156
2020-11-09,113.47,112.893,89.2094
2020-11-10,113.129,112.642,89.391
2020-11-11,116.563,112.36,89.5817
2020-11-12,116.29,112.126,89.7716
2020-11-13,116.338,112.099,89.9791
2020-11-16,117.353,112.09,90.1927
2020-11-17,116.465,112.222,90.3896
2020-11-18,115.138,112.24,90.5767
2020-11-19,115.734,112.344,90.7622
2020-11-20,114.465,112.452,90.9467
2020-11-23,111.061,112.426,91.1123
2020-11-24,112.349,112.423,91.2868
2020-11-25,113.187,112.503,91.4562
2020-11-27,113.734,112.629,91.6312
2020-11-30,116.133,112.87,91.8181
2020-12-01,119.714,113.121,92.0301
2020-12-02,120.065,113.344,92.2383
2020-12-03,119.928,113.657,92.4498
2020-12-04,119.255,113.934,92.6667
2020-12-07,120.718,114.162,92.9089
2020-12-08,121.333,114.349,93.1665
2020-12-09,118.797,114.503,93.4058
2020-12-10,120.221,114.652,93.6755
2020-12-11,119.411,114.765,93.9413
2020-12-14,118.797,114.94,94.1732
2020-12-15,124.747,115.166,94.4463
2020-12-16,124.679,115.456,94.7028
2020-12-17,125.547,115.725,94.9756
2020-12-18,123.557,115.957,95.2432
2020-12-21,125.089,116.181,95.5461
2020-12-22,128.649,116.331,95.8435
2020-12-23,127.752,116.527,96.1485
2020-12-24,128.737,116.742,96.4914
2020-12-28,133.341,117.058,96.8213
2020-12-29,131.566,117.371,97.1856
2020-12-30,130.444,117.721,97.5314
2020-12-31,129.439,118.021,97.8797
2021-01-04,126.24,118.27,98.2142
2021-01-05,127.8,118.571,98.5754
2021-01-06,123.499,118.801,98.921
2021-01-07,127.713,119.114,99.2604
2021-01-08,128.815,119.419,99.607
2021-01-11,125.82,119.77,99.9229
2021-01-12,125.645,120.037,100.251
2021-01-13,127.683,120.47,100.581
2021-01-14,125.752,120.867,100.901
2021-01-15,124.025,121.196,101.229
2021-01-19,124.698,121.452,101.556
2021-01-20,128.796,121.709,101.907
2021-01-21,133.517,122.064,102.257
2021-01-22,135.663,122.508,102.621
2021-01-25,139.419,123.034,102.996
2021-01-26,139.653,123.495,103.369
2021-01-27,138.58,123.941,103.731
2021-01-28,133.732,124.289,104.052
2021-01-29,128.727,124.517,104.351
2021-02-01,130.854,124.804,104.658
2021-02-02,131.683,125.135,104.973
2021-02-03,130.659,125.434,105.291
2021-02-04,134.024,125.825,105.636
2021-02-05,133.609,126.276,105.969
2021-02-08,133.756,126.704,106.305
2021-02-09,132.876,127.098,106.626
2021-02-10,132.271,127.469,106.944
2021-02-11,132.017,127.786,107.267
2021-02-12,132.251,128.037,107.58
2021-02-16,130.121,128.238,107.874
2021-02-17,127.825,128.396,108.163
2021-02-18,126.721,128.545,108.441
2021-02-19,126.878,128.669,108.715
2021-02-22,123.097,128.704,108.966
2021-02-23,122.96,128.787,109.213
2021-02-24,122.462,128.832,109.449
2021-02-25,118.202,128.808,109.657
2021-02-26,118.466,128.801,109.871
2021-03-01,124.846,128.803,110.121
2021-03-02,122.237,128.754,110.356
2021-03-03,119.248,128.628,110.579
2021-03-04,117.362,128.504,110.783
2021-03-05,118.622,128.375,110.995
2021-03-08,113.679,128.076,111.176
2021-03-09,118.3,127.887,111.382
2021-03-10,117.216,127.656,111.581
2021-03-11,119.15,127.372,111.792
2021-03-12,118.241,127.106,111.996
2021-03-15,121.133,126.92,112.215
2021-03-16,122.677,126.784,112.442
2021-03-17,121.885,126.697,112.661
2021-03-18,117.753,126.496,112.857
2021-03-19,117.225,126.371,113.048
2021-03-22,120.547,126.228,113.259
2021-03-23,119.717,126.046,113.455
2021-03-24,117.323,125.876,113.636
2021-03-25,117.812,125.719,113.807
2021-03-26,118.417,125.534,113.97
2021-03-29,118.593,125.39,114.155
2021-03-30,117.137,125.253,114.329
2021-03-31,119.336,125.145,114.509
2021-04-01,120.166,124.973,114.682
2021-04-05,122.999,124.763,114.87
2021-04-06,123.302,124.515,115.059
2021-04-07,124.953,124.226,115.259
2021-04-08,127.356,123.98,115.46
2021-04-09,129.936,123.807,115.664
2021-04-12,128.216,123.697,115.868
2021-04-13,131.333,123.749,116.081
2021-04-14,128.988,123.712,116.296
2021-04-15,131.401,123.706,116.514
2021-04-16,131.069,123.714,116.726
2021-04-19,131.733,123.668,116.942
2021-04-20,130.043,123.597,117.15
2021-04-21,130.424,123.53,117.348
2021-04-22,128.9,123.451,117.539
2021-04-23,131.225,123.43,117.732
2021-04-26,131.616,123.422,117.925
2021-04-27,131.294,123.403,118.115
2021-04-28,130.502,123.411,118.303
2021-04-29,130.405,123.462,118.484
2021-04-30,128.431,123.496,118.651
2021-05-03,129.486,123.548,118.829
2021-05-04,124.904,123.585,118.985
2021-05-05,125.149,123.628,119.133
2021-05-06,126.751,123.714,119.295
2021-05-07,127.426,123.899,119.46
